AuthorVerbeke,Mathias 0.200000
AuthorEvert,Stefan 0.200000
AuthorLadwig,Gunter 0.200000
AuthorJi,Yangsheng 0.200000
AuthorSeol,Yoon-Ho 0.200000
AuthorEhsani,Farzad 0.200000
AuthorKobayashi,Nozomi 0.200000
AuthorDharmanolla,Chitti 0.200000
AuthorEngonopoulos,Nikos 0.200000
AuthorNiu,Zheng-Yu 0.200000
AuthorTseng,Chien-Lin 0.200000
AuthorZaenen,Annie 0.200941
AuthorZorn,Hans-Peter 0.200000
AuthorMachado Rino,Lucia Helena 0.200000
AuthorKu,Hyeonseo 0.200000
AuthorCastellanos,A. 0.200000
AuthorLonning,Jan Tore 0.200000
AuthorShibata,Tomohide 0.200000
AuthorPletat,Udo 0.200000
AuthorNordstrom,Magnus 0.200000
AuthorBraun,Stephan 0.200000
AuthorSharif Razavian,Narges 0.200000
AuthorVecchi,Eva 0.200000
AuthorPolk,John 0.200000
AuthorGoerz,G. 0.200000
AuthorWeikum,Gerhard 0.200000
AuthorKiem,Hoang 0.200000
AuthorFleischman,Michael 0.200000
AuthorPhi,Van-Thuy 0.200000
AuthorFalcone,Rino 0.200000
AuthorPery-Woodley,Marie-Paule 0.200000
AuthorSay,Bilge 0.200000
Authorzhang,jingyi 0.200000
AuthorMiyabe,Yasunari 0.200000
AuthorFujiki,Toshiaki 0.200000
AuthorWagner,Earl 0.200000
AuthorNam,Jee-Sun 0.200000
AuthorSaratxaga,Ibon 0.200000
AuthorMuÃ±iz Cuza,Carlos 0.200000
AuthorSchÃ¤fer,Roland 0.200000
AuthorWill,Craig A. 0.200000
AuthorDjordjevic,Bojan 0.200000
AuthorPoelitz,Christian 0.200000
AuthorKretzschmar,Florian 0.200000
Authorda Cunha,Iria 0.200000
AuthorLembersky,Gennadi 0.200000
AuthorSchone,Patrick 0.200000
AuthorGiorgolo,Gianluca 0.200000
AuthorEndriss,Ulle 0.200000
AuthorBagga,Amit 0.200000
AuthorDinarelli,Marco 0.200000
AuthorKitamoto,Asanobu 0.200000
AuthorMitjushin,Leonid 0.200000
AuthorVan Heerden,Charl 0.200000
AuthorBerment,Vincent 0.200000
AuthorCollier,Nigel 0.200000
AuthorSherwood,Bruce Arne 0.200000
AuthorJi,Zongcheng 0.200000
AuthorGuo,Junfei 0.200000
AuthorLehman,Blair A. 0.200000
AuthorAL Saud,Lama 0.200000
AuthorDosch,Benjamin 0.200000
AuthorSonderegger,Morgan 0.200000
AuthorSurtani,Nitesh 0.200000
AuthorXu,Xiaoming 0.200000
AuthorFrancopoulo,Gil 0.200000
AuthorLee,Katherine 0.200000
AuthorJoty,Shafiq R. 0.200000
AuthorCarter,David M. 0.200000
AuthorBartz,Thomas 0.200000
AuthorKimelfeld,Benny 0.200000
AuthorÅ najder,Jan 0.200000
AuthorChiu,Yi-I 0.200000
AuthorPr&eacute;vot,Laurent 0.200000
AuthorSpecia,Lucia 0.200000
AuthorCornish,Tim 0.200000
AuthorWilson,Terry 0.200000
AuthorPao,Henry 0.200000
AuthorMarziali,A. 0.200000
AuthorSun,Xiao 0.200000
AuthorZhu,Xiaojin 0.200000
AuthorKlapaftis,Ioannis 0.200000
AuthorChrupaÅ‚a,Grzegorz 0.200000
AuthorMartinez,Paloma 0.200000
AuthorMaruyama,Takehiko 0.200000
AuthorN.,Ezeiza 0.200000
AuthorMaxwell,Kerry G. 0.200000
AuthorZheng,Wen 0.200000
AuthorMiseska Tomic,Olga 0.200000
AuthorJiang,Xiao 0.200000
AuthorKrishna,Gopala 0.200000
AuthorHo,Tu Bao 0.200000
AuthorBreidt,Elisabeth 0.200000
AuthorShaw,Erin 0.200000
AuthorSt&uuml;hrenberg,Maik 0.200000
AuthorKun,Andrew 0.200000
AuthorCederberg,Scott 0.200000
AuthorReeder,Florence M. 0.200000
AuthorChu,Sharon 0.200000
AuthorFeth,L. 0.200000
AuthorHeylen,Kris 0.200000
AuthorSwift,Adam 0.200000
AuthorBordag,Stefan 0.200000
AuthorKupin,Joseph 0.200000
AuthorTang,Guangchao 0.200000
AuthorHlavÃ¡ÄovÃ¡,Jaroslava 0.200000
AuthorDe Haas,Erik 0.200000
AuthorMuoz,R. 0.200000
AuthorDillinger,Mike 0.200000
AuthorXun,Endong 0.200000
AuthorChen,Chaomei 0.200000
AuthorSnider,Neal 0.200000
AuthorYetisgen-Yildiz,Meliha 0.200000
AuthorHolan,Tomas 0.200000
AuthorIyyer,Mohit 0.200000
AuthorKeselj,Vlado 0.200000
AuthorYu,Dan 0.200000
AuthorArase,Yuki 0.200000
AuthorJoho,Hideo 0.200000
Author&Atilde;‡&Atilde;&para;ltekin,&Atilde;‡a&Auml;Ÿr&Auml;&plusmn; 0.200000
AuthorYamaguchi,Masaya 0.200000
AuthorClark,Sam 0.200000
AuthorHarvey,Terrence 0.200000
AuthorLaurent,Dominique 0.200000
AuthorKonrad,Manuel 0.200000
AuthorAdhikari,Ronojoy 0.200000
AuthorZhu,Xiaodan 0.200000
AuthorZhang,Guchun 0.200000
AuthorOussalah,Mourad 0.200000
AuthorKirschner,Zdenek 0.200000
AuthorVerdejo,M. Felisa 0.200000
AuthorGarigliano,Roberto 0.200000
AuthorHaller,Johann 0.200000
AuthorFang,Licheng 0.200000
AuthorJung,Sangkeun 0.200000
AuthorForbes-Riley,Katherine 0.200000
AuthorManishina,Elena 0.200000
AuthorRosti,Antti-Veikko I. 0.200000
AuthorPennaccchiotti,Marco 0.200000
AuthorDe Cao,Diego 0.200000
AuthorNugier,Sylvaine 0.200000
AuthorTakeuchi,Koichi 0.200000
AuthorVilo,Jaak 0.200000
AuthorHong,Pengyu 0.200000
AuthorVetulani,Grazyna 0.200000
AuthorChiba,Yuya 0.200000
AuthorQuattri,Francesca 0.200000
AuthorTepper,S. 0.200000
AuthorGalinskaya,Irina 0.200000
AuthorLease,Matthew 0.200000
AuthorThomas,Philippe 0.200000
AuthorRodriguez-Gancedo,M. Carmen 0.200000
AuthorKanemoto,Atsushi 0.200000
AuthorSatyapanich,Taneeya 0.200000
AuthorDai,Hanjun 0.200000
AuthorGoulart,Rodrigo 0.200000
AuthorMunteanu,Dragos Stefan 0.208000
AuthorSeki,Hiroyuki 0.200000
AuthorHofmann,Thomas R. 0.200000
AuthorFerres,Daniel 0.200000
AuthorBroda,Bartosz 0.200000
AuthorRead,Walter 0.200000
AuthorColowick,Susan 0.200000
AuthorMurray,Gabriel 0.200000
AuthorWaltinger,Ulli 0.200000
AuthorArcan,Mihael 0.200000
AuthorLomas,Meghann 0.200000
AuthorMaamouri,Mohamed 0.200000
AuthorPerelygin,Alex 0.200000
AuthorPecatte,J. M. 0.200000
AuthorHendriks,Petra 0.200000
AuthorZhou,Xiaodong 0.200000
AuthorLin,Chin Yew 0.200000
AuthorCailliau,Frederik 0.200000
AuthorNicolov,Nicolas 0.200000
AuthorPavlopoulos,John 0.200000
AuthorSakagami,Y. 0.200000
AuthorDahlback,Nils 0.200000
AuthorWasala,Asanka 0.200000
AuthorFernandez Monsalve,Irene 0.200000
AuthorKnowles,F. 0.200000
AuthorBurnham,Denis 0.200000
AuthorSugio,Toshiyuki 0.200000
AuthorSummer-Stay,Douglas 0.200000
AuthorAranzabe,Mar&Atilde;&not;a Jes&Atilde;&ordm;s 0.200000
AuthorR.,Urizar 0.200000
AuthorAndrews,Nicholas 0.200000
AuthorBakker,Bart 0.200000
AuthorRizzo,Albert 0.200000
AuthorPeshkova,Yuliya 0.200000
AuthorSintsova,Valentina 0.200000
AuthorKaisser,Michael 0.200000
AuthorGoldsmith,Meredith J. 0.200000
AuthorSouza,Jose 0.200000
AuthorMarrafa,Palmira 0.200000
AuthorZhu,Zhemin 0.200000
AuthorScott,Matthew R. 0.200000
AuthorLaroche,Audrey 0.200000
AuthorEverett,Stephanie S. 0.200000
AuthorHeeringa,Wilbert 0.200000
AuthorFerretti,Marco 0.200000
AuthorColbath,Sean 0.200000
AuthorEichstaedt,Johannes 0.200000
AuthorSakai,Shinsuke 0.200000
AuthorWakaki,Hiromi 0.200000
AuthorRist,Thomas 0.200000
AuthorGilbert,K. 0.200000
AuthorTarpomanova,Ekaterina 0.200000
AuthorMoreno-Schneider,Juli&aacute;n 0.200000
AuthorCastelli,Margherita 0.200000
AuthorKhajour,Abdelaziz 0.200000
AuthorKrapcho,Frank 0.200000
AuthorJin,Yaohong 0.200000
AuthorKawai,Atsuo 0.200000
AuthorFlynn,Mike 0.200000
AuthorQuadri,Dominique 0.200000
AuthorHerrmann,Teresa 0.200000
AuthorDekova,Rositsa 0.200000
AuthorLiverko,Sergey 0.200000
AuthorMcCoy,Kathy 0.200000
AuthorAihara,Ryo 0.200000
AuthorRibeiro,Ricardo 0.200000
AuthorMa,Tengfei 0.200000
AuthorAbekawa,Takeshi 0.200000
AuthorRao,Uma Maheswara G. 0.200000
AuthorHamdan,Hussam 0.200000
AuthorLytinen,Steven L. 0.200000
AuthorKommenda,Markus 0.200000
AuthorBiewald,Luke 0.200000
AuthorKosaka,Michiko 0.200000
AuthorLi,Ngai Ling 0.200000
AuthorJohnson,Dale 0.200000
AuthorHinrichs,Erhard W. 0.200000
AuthorMaterna,Pavel 0.200000
AuthorAlhelbawy,Ayman 0.200000
AuthorPitel,Guillaume 0.200000
AuthorHou,Yuexian 0.200000
AuthorTran,Andrew 0.200000
AuthorPark,Kyung-Mi 0.200000
AuthorThomas,John C. 0.200000
AuthorParisi,Domenico 0.200000
AuthorRondeau,Gilbert 0.200000
AuthorDavis,Hannah 0.200000
AuthorVan,Channa 0.200000
AuthorParadis,Francois 0.200000
AuthorVieira,Renata 0.200000
AuthorTerrell,Allison 0.200000
AuthorVotrubec,Jan 0.200000
AuthorScovel,Clint 0.200000
AuthorUchida,Hiroshi 0.200000
AuthorWeiss,Guy 0.200000
AuthorAlonso Pardo,Miguel A. 0.200000
AuthorPersson,Emil 0.200000
AuthorPiat,Gerald 0.200000
AuthorCooper,Chris 0.200000
AuthorCarayannis,George 0.200000
AuthorBrutti,Alessio 0.200000
AuthorVogler,Heiko 0.200000
AuthorLyons,Daniel 0.200000
AuthorMason,Winter 0.200000
AuthorDave,M. 0.200000
AuthorBaird,Cheyanne 0.200000
AuthorHall,Wendy 0.200000
AuthorLee,Lian Hau 0.200000
AuthorDinu,Anca 0.200000
AuthorPerez-de-ViÃ±aspre,Olatz 0.200000
AuthorMagdy,Walid 0.200000
AuthorNarroway,George 0.200000
AuthorLi,Li 0.200000
AuthorPfleger,Norbert 0.200000
AuthorChen,Xin 0.200000
AuthorRivard,Kathryn 0.200000
AuthorYang,Jie-Chi 0.200000
AuthorLi,Lu 0.200000
AuthorHutchinson,Ben 0.200000
AuthorPorta,Jordi 0.200000
AuthorFitzpatrick,Eileen 0.200000
AuthorGargouri,Bilel 0.200000
AuthorSzymanski,Terrence 0.200000
AuthorQazvinian,Vahed 0.200000
AuthorProvost,Herv&Atilde;&copy; 0.200000
AuthorDuÅ¡ek,OndÅ™ej 0.200000
AuthorRousselot,Fran&ccedil;ois 0.200000
AuthorDensham,Ian 0.200000
AuthorTodirascu,Amalia 0.200000
AuthorMilhorat,Pierrick 0.200000
AuthorTeng,Jei-Wen 0.200000
AuthorWu,Yonghui 0.200000
AuthorMares,M&iacute;riam Luj&aacute;n 0.200000
AuthorBhagat,Sonali 0.200000
AuthorKoike,Chimato 0.200000
AuthorHermann,Karl Moritz 0.200000
AuthorGravel,Rilana 0.200000
AuthorNerima,Luka 0.200000
AuthorSenellart,Jean 0.200000
AuthorTait,John Irving 0.200000
AuthorRiaz,Mehwish 0.200000
AuthorCai,Qingsheng 0.200000
AuthorMazidi,Karen 0.200000
AuthorSinclair,Gail 0.200000
AuthorKrishnakumaran,Saisuresh 0.200000
AuthorSilk,Barry 0.200000
AuthorDumitrescu,Stefan Daniel 0.200000
AuthorTerai,Asuka 0.200000
AuthorHays,David G. 0.200000
AuthorEnright,Jessica 0.200000
AuthorAbdulrahim,Dana 0.200000
AuthorShirai,Kiyoaki 0.200000
AuthorNasukawa,Tetsuya 0.200000
AuthorPark,Seong-Bae 0.200000
AuthorRobinson,Susan 0.200000
AuthorLo&Atilde;&iexcl;iciga,Sharid 0.200000
AuthorSautter,Guido 0.200000
AuthorWu,Chien-Ping 0.200000
AuthorEnjalbert,Patrice 0.200000
AuthorPrevitali,Daniele 0.200000
AuthorRobinson,Patricia 0.200000
AuthorCelli,Fabio 0.200000
AuthorZhang,Hu 0.200000
AuthorBlaser,Brigitte 0.200000
AuthorTian,Zhenhua 0.200000
AuthorStabler,Edward P. 0.200000
AuthorGenzmann,Heinz 0.200000
AuthorSantus,Enrico 0.200000
AuthorNeuburg,Edward P. 0.200000
AuthorThomforde,Emily 0.200000
AuthorKitagawa,Kotaro 0.200000
AuthorNg,See-Kiong 0.200000
AuthorReynolds,Jeff 0.200000
AuthorJeblee,Serena 0.200000
AuthorLi,Daren 0.200000
AuthorMolinero,Miguel A. 0.200000
AuthorIbrahim,Hossam 0.200000
AuthorJiang,Daxin 0.200000
AuthorPlunkett,Kim 0.200000
AuthorLi,Dingcheng 0.200000
AuthorForcada,Mikel L. 0.200000
AuthorMuller,Daniel 0.200000
AuthorJiang,Sun Da 0.200000
AuthorBratt,Elizabeth Owen 0.211429
AuthorDingemanse,Mark 0.200000
AuthorKnorz,Gerhard 0.200000
AuthorHeljakka,Ari 0.200000
AuthorMoreno,Asunci 0.200000
AuthorMerten,Stefan 0.200000
AuthorBenus,Stefan 0.200000
AuthorWise,G. Bowden 0.200000
AuthorWebster,Mort 0.200000
AuthorLeaman,Robert 0.200000
AuthorRossi,Gianluca 0.200000
AuthorCeylan,Hakan 0.200000
AuthorPolak,Vaclav 0.200000
AuthorMachi,Filip 0.200000
AuthorErteschik-Shir,Nomi 0.200000
AuthorSorin,Christel 0.200000
AuthorGarcia,Jorge L. 0.200000
AuthorAddison,Edwin 0.200000
AuthorCampia,Paolo 0.200000
Authorde la PeÃ±a GonzÃ¡lez,Santiago 0.200000
AuthorCelikyilmaz,Asli 0.200000
AuthorTachibana,Kenji 0.200000
AuthorDe Gispert,Adria 0.200000
AuthorKatz,Slava M. 0.200000
AuthorSharaf,Nada 0.200000
AuthorEubank,Stephen 0.200000
AuthorTang,Yuezhong 0.200000
AuthorManine,Alain-Pierre 0.200000
AuthorSkalmowski,Wojciech 0.200000
AuthorPe&ntilde;as,Anselmo 0.200000
AuthorKotnik,Bojan 0.200000
AuthorMarsh,Elaine 0.200000
AuthorNyberg,Eric H. 0.200000
AuthorPincus,Eli 0.200000
AuthorOoshima,Yoshimitsu 0.200000
AuthorBaur,Judith 0.200000
AuthorChang,Joseph 0.200000
AuthorGamonal,Maucha 0.200000
AuthorLandauer,Thomas 0.200000
AuthorNewbold,Neil 0.200000
AuthorCorrea,Nelson 0.200000
AuthorKegelmeyer,Philip 0.200000
AuthorLee,Mark 0.200000
AuthorYe,Hui 0.200000
AuthorShanon,Benny 0.200000
AuthorPackel,Adrian 0.200000
AuthorKoch,Sabine 0.200000
AuthorLi,Yi-Ping 0.200000
AuthorDai,Wenyuan 0.200000
AuthorStein-Sparvieri,Elena 0.200000
AuthorSaint Dizier,Patrick 0.200000
AuthorMott,Justin 0.200000
AuthorFonseca,Jos&eacute; 0.200000
AuthorYao,Jianmin 0.200000
AuthorDharkar,Ankush 0.200000
AuthorBontcheva,Katina 0.200000
AuthorZheng,Zeyu 0.200000
AuthorBlunsom,Philip 0.200000
AuthorGilbert,Mazin 0.200000
AuthorDalton,Adam 0.200000
AuthorBrazda,Nicole 0.200000
AuthorVasishth,Shravan 0.200000
AuthorCarvalho,Paula 0.200000
AuthorYabuta,Yukiko 0.200000
AuthorPadÃ³,Sebastian 0.200000
AuthorVisweswariah,Karthik 0.200000
AuthorMuto,Yukiyoshi 0.200000
AuthorCai,Ke 0.200000
AuthorRamanath,Maya 0.200000
AuthorKrieger,Hans-Ulrich 0.200000
AuthorKlein,Dan 0.200941
AuthorRaman,S. 0.200000
AuthorPassonneau,Rebecca J. 0.200941
AuthorSu,Zhong 0.200000
AuthorHern&aacute;ez,Inmaculada 0.200000
AuthorGey,Fredric C. 0.200000
AuthorJung,Hagen 0.200000
AuthorHearst,Marti A. 0.200941
AuthorKamboj,Sachin 0.200000
AuthorVickers,Lucas 0.200000
AuthorBechet,Fr&eacute;d&eacute;ric 0.200000
AuthorDaudaravicius,Vidas 0.200000
AuthorSoboroff,Ian 0.200000
AuthorChen,Huan-Yuan 0.200000
AuthorMaslennikov,Mstislav 0.200000
AuthorScholtz,Jean 0.200000
AuthorAgarwal,Basant 0.200000
AuthorKiprov,Yasen 0.200000
AuthorHanna,Philip 0.200000
AuthorMeurers,Walt Detmar 0.200000
Author&Ouml;zertem,Umut 0.200000
AuthorLenders,Winfried 0.200000
AuthorMoyne,J. A. 0.200000
AuthorPatel,Ami 0.200000
AuthorStent,Amanda 0.200000
AuthorArosio,Fabrizio 0.200000
AuthorSeemann,Nina 0.200000
AuthorChuchunkov,Alexander 0.200000
AuthorZhang,Huibin 0.200000
AuthorFerr&eacute;,Ga&euml;lle 0.200000
AuthorMitsuda,Koh 0.200000
AuthorVan Herwijnen,Olga 0.200000
AuthorWatson,Bruce W. 0.200000
AuthorCarazo,Jos&eacute; Mar&iacute;a 0.200000
AuthorRytting,C. Anton 0.200000
AuthorKertz,Laura 0.200000
AuthorBlackwood,Graeme 0.200000
AuthorKuhn,Jonas 0.200000
AuthorPanchal,Vishal 0.200000
AuthorNikfarjam,Azadeh 0.200000
AuthorBalla,Amar 0.200000
AuthorAlotaiby,Fahad 0.200000
AuthorEgedi,Dania 0.200000
AuthorGhosh,Urmi 0.200000
AuthorMurthy,Hema A. 0.200000
AuthorPechsiri,Chaveevan 0.200000
AuthorKushman,Nate 0.200000
AuthorGu,Xiaodong 0.200000
AuthorLin,Zhangxi 0.200000
AuthorAouladomar,Farida 0.200000
AuthorVan De Plassche,Joke 0.200000
AuthorKinjo,Yumiko 0.208000
AuthorRowles,Chris 0.200000
AuthorLandes,Shari 0.200000
AuthorChevalier,Haakon 0.200000
AuthorHunt,Steve 0.200000
AuthorNapolitano,Diane 0.200000
AuthorWolff,Susanne 0.200000
AuthorBender,Emily M. 0.200000
AuthorRajan,Vinodh 0.200000
AuthorStucky,Susan U. 0.200000
AuthorGralinski,Filip 0.200000
AuthorBoydstun,Amber 0.200000
AuthorLiu,Hongfang 0.200000
AuthorBozsahin,H. Cem 0.200000
AuthorJones,Rhys James 0.200000
AuthorChatain,Pierre 0.200000
AuthorLee,Haejoong 0.200000
AuthorSigogne,Anthony 0.200000
AuthorMaleki,Jalal 0.200000
AuthorShalyapina,Zoya M. 0.200000
AuthorJezek,Elisabetta 0.200000
AuthorLeong,Ben 0.200000
AuthorRoy,Shourya 0.200000
AuthorIttycheriah,Midhun 0.200000
AuthorKnopp,Johannes 0.200000
AuthorSilbert,Noah H. 0.200000
AuthorWashtell,Justin 0.200000
AuthorBuranova&#xE1;,Eva 0.200000
AuthorBlatz,John 0.200000
AuthorChu,David 0.200000
AuthorItou,Katunobu 0.200000
AuthorVeloso,Adriano 0.200000
AuthorGyamfi,Yaw 0.200000
AuthorAreta,Nerea 0.200000
AuthorManabe,Toshihiko 0.200000
AuthorGlass,Jesse 0.200000
AuthorFoster,George 0.200000
AuthorYang,Changhua 0.200000
AuthorNejat,Bita 0.200000
AuthorHong,Jia-Fei 0.200000
AuthorMarshall,Ian 0.200000
Authorvan Oosten,Philip 0.200000
AuthorPinkal,Manfred 0.200000
AuthorLiu,Kang 0.200000
AuthorJugnet,Anne 0.200000
AuthorSmets,Martine 0.200000
AuthorRashtchian,Cyrus 0.200000
AuthorKirby,Simon 0.200000
AuthorAhrenberg,Lars 0.200000
AuthorDaniels,Jody J. 0.200000
AuthorKikui,Genichiro 0.200000
AuthorFan,Kai 0.200000
AuthorKawada,Tsutomu 0.200000
AuthorKok,Stanley 0.200000
AuthorRowe,Jonathan 0.200000
AuthorDella Pietra,Stephen A. 0.260050
AuthorMarinai,Elisabeitta 0.200000
AuthorRosenberg,A. E. 0.200000
AuthorHori,Koichi 0.200000
AuthorPhillips,Lawrence 0.200000
AuthorJiang,Zhipeng 0.200000
AuthorQuarteroni,Silvia 0.200000
AuthorChen,Boxing 0.200000
AuthorWu,Xin 0.200000
AuthorWoolley,G. H. 0.200000
AuthorMalsburg,Titus von der 0.200000
AuthorMykowiecka,Agnieszka 0.200000
AuthorMahgoub,Ashraf 0.200000
AuthorJeon,Je Hun 0.200000
AuthorWang,Xuan 0.200000
AuthorBannour,Sondes 0.200000
AuthorNulty,Paul 0.200000
AuthorMuller,Frank Henrik 0.200000
AuthorXu,Wenzhi 0.200000
AuthorPrice,Timothy 0.200000
AuthorSegers,Roxane 0.200000
AuthorMirkovic,Danilo 0.200000
AuthorFurche,Tim 0.200000
AuthorRowley,Andrew 0.200000
AuthorBhattacharya,Arindam 0.200000
AuthorIsogai,Shuntaro 0.200000
AuthorMontoyo,AndrÃ©s 0.200000
AuthorSzÃ¡ntÃ³,Zsolt 0.200000
AuthorKim,Youngwhan 0.200000
AuthorLonneker,Birte 0.200000
AuthorPeral,Jesus 0.200000
AuthorAlc&aacute;zar,Jos&eacute; 0.200000
AuthorMerigaud,Nicolas 0.200000
AuthorCurtis,Jon 0.200000
AuthorGarner,Philip N. 0.200000
AuthorLejeune,Gael 0.200000
AuthorNguyen,Phuong-Thai 0.200000
AuthorLevin,Dimitry 0.200000
AuthorZhiwei,Feng 0.200000
AuthorBush,Marcia A. 0.200000
AuthorMatou&scaron;ek,Jind&#x159;ich 0.200000
AuthorBougares,Fethi 0.200000
AuthorPortele,Thomas 0.200000
AuthorEryiÄŸit,GÃ¼lsen 0.200000
AuthorKos,Kamil 0.200000
AuthorThanadkran,Kanokwut 0.200000
AuthorMurguia,Elixabete 0.200000
AuthorFisher,Seeger 0.200000
AuthorIkonomov,Nikola 0.200000
AuthorBurkert,Gerrit 0.200000
AuthorLi,Junyi Jessy 0.200000
AuthorYang,Haitong 0.200000
AuthorDarrell,Trevor 0.200000
AuthorRoche,Emmanuel 0.200000
AuthorCohen,Jordan R. 0.200000
AuthorBrown,Dunstan 0.200000
AuthorCheng,Xiwen 0.200000
AuthorDuarte,Sergio 0.200000
AuthorJautze,Kim 0.200000
AuthorHoenkamp,Edward 0.200000
AuthorHaas,Andrew R. 0.200000
AuthorSassolini,Eva 0.200000
AuthorGranville,Robert Alan 0.200000
AuthorKumar,Ashwani 0.200000
AuthorStarosta,Stanley 0.200000
AuthorVinicombe,Heath 0.200000
AuthorMa,Chao 0.200000
AuthorNandan,Naveen 0.200000
AuthorJost,Patrick 0.200000
AuthorNoraset,Thanapon 0.200000
AuthorGleize,Martin 0.200000
AuthorCai,Xiaoyan 0.200000
Author&Aring;&frac12;orga Dulmin,Maja 0.200000
AuthorTae,Yoon-Shik 0.200000
AuthorKordoni,Valia 0.200000
AuthorBerrendonner,Alain 0.200000
AuthorSteyvers,Mark 0.200000
AuthorYoshino,Koichiro 0.200000
AuthorSindelar,Michael 0.200000
AuthorO'Donoghue,Tim F. 0.200000
AuthorLi,Zhoujun 0.200000
AuthorPereira,Daniel Bastos 0.200000
AuthorRouault,Jacques 0.200000
AuthorNarin'yani,A. S. 0.200000
AuthorKersey,Cynthia 0.200000
AuthorBes,Gabriel G. 0.200000
AuthorSong,Yu 0.200000
AuthorSaha,Sujan Kumar 0.200000
AuthorWeerkamp,Wouter 0.200000
AuthorIida,Masayo 0.200000
AuthorHisamitsu,Toru 0.200000
AuthorReeves,John 0.200000
AuthorNikitina,Tatiana 0.200000
AuthorWawer,Aleksander 0.200000
AuthorTvinnereim,Endre 0.200000
AuthorKaeshammer,Miriam 0.200000
AuthorDiwakar,Synny 0.200000
AuthorPang,Bo 0.200941
AuthorXuan,Weijian 0.200000
AuthorPaggio,Patrizia 0.200000
AuthorToldova,Svetlana 0.200000
AuthorVu,Thuy 0.200000
AuthorTavosanis,Mirko 0.200000
AuthorGuardiola,Mathilde 0.200000
AuthorAlmas,Yousif 0.200000
AuthorPetrov,Slav 0.200000
AuthorGarnier,Marie 0.200000
AuthorMettler,Matt 0.200000
AuthorHensman,Svetlana 0.200000
AuthorWu,Chunyao 0.200000
AuthorWithgott,M. Margaret 0.200000
AuthorAudibert,Nicolas 0.200000
AuthorSun,Weiwei 0.200000
AuthorBalkanski,Cecile T. 0.200000
AuthorZhang,Yibo 0.200000
AuthorSchauer,Holger 0.200000
AuthorRamamoorthy,Subramanian 0.200000
AuthorLertnattee,Verayuth 0.200000
AuthorLane,Pia 0.200000
AuthorJoshi,Sachindra 0.200000
AuthorPÃ©rez-Rosas,VerÃ³nica 0.200000
AuthorSimmons,Robert F. 0.200000
AuthorHaake,Anne 0.200000
AuthorSymonenko,Svetlana 0.200000
AuthorFrasconi,Paolo 0.200000
AuthorChen,Tao 0.200000
AuthorGuzey,Cemaleddin 0.200000
AuthorChaudhri,Vinay 0.200000
AuthorRudnick,Alex 0.200000
AuthorQiu,Siyu 0.200000
AuthorLita,Lucian Vlad 0.200000
AuthorRothkegel-Schramm,A. 0.200000
AuthorAraki,Masahiro 0.200000
AuthorYoshimura,W. 0.200000
AuthorWeeks,Rollin V. 0.200000
AuthorAhn,David 0.200000
AuthorRizzo,Albert A. 0.200000
AuthorBloom,Jonathan 0.200000
AuthorHingmire,Swapnil 0.200000
AuthorMairesse,Fran&ccedil;ois 0.200000
AuthorHiguchi,Tetsuya 0.200000
AuthorMatykiewicz,Pawel 0.200000
AuthorKanthak,Stephan 0.200000
AuthorBennett,Scott W. 0.200000
AuthorKitaoka,Norihide 0.200000
AuthorZhu,Jingbo 0.200000
AuthorYamada,Takeshi 0.200000
AuthorMiyazaki,Taro 0.200000
AuthorFuruse,Osamu 0.200000
AuthorChang,Nancy 0.200000
AuthorMihelic,France 0.200000
AuthorWoodland,P. C. 0.200000
AuthorBergmann,Kirsten 0.200000
AuthorOlsson,Maria 0.200000
AuthorPennachin,Cassio 0.200000
AuthorNiessen,Sonja 0.200000
AuthorLavergne,Thomas 0.200000
AuthorNath,Joydeep 0.200000
AuthorLim,Joon-Ho 0.200000
AuthorGrisot,Cristina 0.200000
AuthorIslam,Zahurul 0.200000
AuthorHara,Shinjiroh 0.200000
AuthorDirksen,Arthur 0.200000
AuthorZukerman,Ingrid 0.200000
AuthorS&Atilde;&iexcl;nchez-Mart&Atilde;&not;nez,Felipe 0.200000
AuthorPin-Ngern Conlon,Sumali 0.200000
AuthorChen,Mathis H. 0.203265
AuthorJeong,Yoonjae 0.200000
AuthorSkon,Jim 0.200000
AuthorSatou,Kenji 0.200000
AuthorWarwick-Armstrong,Susan 0.200000
AuthorKraaij,Wessel 0.200000
AuthorYamaji,Takahiro 0.200000
AuthorG&oacute;rski,Rafa&#x142; L. 0.200000
AuthorBarbu,Catalina 0.200000
AuthorGraupe,Evelin 0.200000
AuthorBourgeois,Thomas C. 0.200000
AuthorKang,Jun Seok 0.200000
AuthorMasuda,Katsuya 0.200000
AuthorHockey,Beth Ann 0.200000
AuthorPellegrino,Fran&Atilde;&sect;ois 0.200000
AuthorNakamura,Masami 0.200000
AuthorRobertson,Roma 0.200000
AuthorChotimongkol,Ananlada 0.200000
AuthorShin,Hyopil 0.200000
AuthorMarcotte,Odile 0.200000
AuthorSmith,Carlota 0.200000
AuthorChoi,Jeung-Yoon 0.200000
AuthorDorr,Bonnie Jean 0.200000
AuthorBauer,Daniel 0.200000
AuthorL&uuml;,Yajuan 0.200000
AuthorTaira,Hirotoshi 0.200000
AuthorKietz,Jorg-Uwe 0.200000
AuthorTeichmann,Christoph 0.200000
AuthorLeermakers,Rene 0.200000
AuthorKeim,Greg A. 0.200000
Authorvan de Camp,Matje 0.200000
AuthorColl,Maria 0.200000
